OPR_DT,OPR_HR,MW
2/3/2019,18,46.6296
2/3/2019,19,48.31416
2/3/2019,20,46.78465
2/3/2019,21,44.93754
2/3/2019,22,41.56958
2/3/2019,23,37.36475
2/3/2019,24,36.10384
2/4/2019,1,34.7783
2/4/2019,2,33.62498
2/4/2019,3,32.75338
2/4/2019,4,31.78211
2/4/2019,5,36.07968
2/4/2019,6,41.6931
2/4/2019,7,55.5272
2/4/2019,8,51.14982
2/4/2019,9,50.79812
2/4/2019,10,44.1593
2/4/2019,11,39.91016
2/4/2019,12,33.23263
2/4/2019,13,31.86828
2/4/2019,14,33.27779
2/4/2019,15,33.79048
2/4/2019,16,38.56004
2/4/2019,17,48.27043
2/4/2019,18,61.45204
2/4/2019,19,71.78483
2/4/2019,20,63.78261
2/4/2019,21,60.19531
2/4/2019,22,56.38301
2/4/2019,23,42.88317
2/4/2019,24,40.27507
2/5/2019,1,54.61167
2/5/2019,2,50.7356
2/5/2019,3,46.45294
2/5/2019,4,46.60112
2/5/2019,5,51.49787
2/5/2019,6,59.28126
2/5/2019,7,82.33909
2/5/2019,8,83.1363
2/5/2019,9,63.85916
2/5/2019,10,52.88252
2/5/2019,11,46.66696
2/5/2019,12,44.21028
2/5/2019,13,41.50659
2/5/2019,14,41.93391
2/5/2019,15,41.14836
2/5/2019,16,43.83019
2/5/2019,17,61.94974
2/5/2019,18,80.29969
2/5/2019,19,90.95328
2/5/2019,20,85.6298
2/5/2019,21,81.81563
2/5/2019,22,77.19443
2/5/2019,23,60.87407
2/5/2019,24,56.94634
2/6/2019,1,73.89108
2/6/2019,2,71.43966
2/6/2019,3,70.97175
2/6/2019,4,71.86634
2/6/2019,5,73.43866
2/6/2019,6,92.9507
2/6/2019,7,128.9436
2/6/2019,8,117.01272
2/6/2019,9,82.75237
2/6/2019,10,65.56646
2/6/2019,11,60.31044
2/6/2019,12,57.87662
2/6/2019,13,57.69389
2/6/2019,14,56.19424
2/6/2019,15,55.11306
2/6/2019,16,55.25084
2/6/2019,17,74.40441
2/6/2019,18,108.88429
2/6/2019,19,137.94743
2/6/2019,20,125.22657
2/6/2019,21,108.12323
2/6/2019,22,97.99399
2/6/2019,23,92.63466
2/6/2019,24,78.85526
2/7/2019,1,107.23082
2/7/2019,2,105.33347
2/7/2019,3,108.34815
2/7/2019,4,108.16735
2/7/2019,5,113.6535
2/7/2019,6,138.66644
2/7/2019,7,188.9371
2/7/2019,8,163.61789
2/7/2019,9,105.69245
2/7/2019,10,90.93133
2/7/2019,11,82.34988
2/7/2019,12,78.80249
2/7/2019,13,76.27166
2/7/2019,14,76.27011
2/7/2019,15,81.37443
2/7/2019,16,82.03282
2/7/2019,17,113.64348
2/7/2019,18,174.8729
